WITN09890500
WITN09890500

Appendix II – Post Office prosecutions and convictions 1990 – 2020

| Year | All cases | | | | | | PCDE/'Like for like' Horizon-related | | | | | | Shortfall-related | | | | | |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| | Pre-Horizon | | Post-Horizon | | Total | | Pre-Horizon | | Post-Horizon | | Total | | Pre-Horizon | | Post-Horizon | | Total | |
| | Pros. | Conv. | Pros. | Conv. | Pros. | Conv. | Pros. | Conv. | Pros. | Conv. | Pros. | Conv. | Pros. | Conv. | Pros. | Conv. | Pros. | Conv. |
| 1990 | 1 | 1 | | | 1 | 1 | 1 | 1 | | | 1 | 1 | 0 | 0 | | | 0 | 0 |
| 1991 | 6 | 5 | | | 6 | 5 | 4 | 3 | | | 4 | 3 | 3 | 2 | | | 3 | 2 |
| 1992 | 2 | 0 | | | 2 | 0 | 2 | 0 | | | 2 | 0 | 0 | 0 | | | 0 | 0 |
| 1993 | 7 | 4 | | | 7 | 4 | 6 | 3 | | | 6 | 3 | 2 | 1 | | | 2 | 1 |
| 1994 | 10 | 9 | | | 10 | 9 | 9 | 8 | | | 9 | 8 | 4 | 3 | | | 4 | 3 |
| 1995 | 7 | 5 | | | 7 | 5 | 7 | 5 | | | 7 | 5 | 0 | 0 | | | 0 | 0 |
| 1996 | 31 | 27 | | | 31 | 27 | 26 | 23 | | | 26 | 23 | 15 | 14 | | | 15 | 14 |
| 1997 | 60 | 54 | | | 60 | 54 | 39 | 36 | | | 39 | 36 | 18 | 16 | | | 18 | 16 |
| 1998 | 93 | 86 | | | 93 | 86 | 70 | 65 | | | 70 | 65 | 29 | 29 | | | 29 | 29 |
| 1999 | 112 | 105 | 2* | 2* | 114 | 107 | 101 | 94 | | | 101 | 94 | 22 | 20 | | | 22 | 20 |
| 2000 | 64 | 56 | 39 | 36 | 103 | 92 | 59 | 51 | 39 | 36 | 98 | 87 | 20 | 19 | 10 | 10 | 30 | 29 |
| 2001 | | | 69 | 61 | 69 | 61 | | | 63 | 56 | 63 | 56 | | | 28 | 24 | 28 | 24 |
| 2002 | | | 78 | 65 | 78 | 65 | | | 75 | 62 | 75 | 62 | | | 31 | 28 | 31 | 28 |
| 2003 | | | 68 | 51 | 68 | 51 | | | 58 | 47 | 58 | 47 | | | 34 | 27 | 34 | 27 |
| 2004 | | | 104 | 98 | 104 | 98 | | | 94 | 90 | 94 | 90 | | | 34 | 32 | 34 | 32 |
| 2005 | | | 73 | 65 | 73 | 65 | | | 64 | 57 | 64 | 57 | | | 44 | 39 | 44 | 39 |
| 2006 | | | 60 | 51 | 60 | 51 | | | 48 | 45 | 48 | 45 | | | 43 | 40 | 43 | 40 |
| 2007 | | | 52 | 47 | 52 | 47 | | | 
